epoch,accuracy,loss,val_accuracy,val_loss
0,0.5817766189575195,0.9467394351959229,0.6333841681480408,0.8738512396812439
1,0.6231414675712585,0.883789598941803,0.6333841681480408,0.8588591814041138
2,0.6267632246017456,0.8647729158401489,0.6402438879013062,0.8486636877059937
3,0.6349599957466125,0.8501402139663696,0.6417682766914368,0.8333835005760193
4,0.6439191699028015,0.8272495269775391,0.6509146094322205,0.8252286314964294
5,0.6469691395759583,0.8187111020088196,0.65625,0.8025778532028198
6,0.6502096652984619,0.8048508763313293,0.6592987775802612,0.7881239056587219
7,0.6574532985687256,0.7904189229011536,0.6707317233085632,0.7987167835235596
8,0.6561189293861389,0.7874677181243896,0.6730182766914368,0.7840787172317505
9,0.6565002202987671,0.777746856212616,0.6722561120986938,0.771237850189209
10,0.6677468419075012,0.7669540643692017,0.6783536672592163,0.7888385653495789
11,0.6656500101089478,0.761673629283905,0.6775914430618286,0.7585743069648743
12,0.6702249050140381,0.7536424398422241,0.6829268336296082,0.7637073993682861
13,0.6854746341705322,0.7460638880729675,0.6859756112098694,0.7449541687965393
14,0.6847121715545654,0.7437364459037781,0.6844512224197388,0.7436643838882446
15,0.6828059554100037,0.7383125424385071,0.6875,0.7936011552810669
16,0.6879526972770691,0.7358184456825256,0.6974085569381714,0.731735110282898
17,0.6866183876991272,0.7305406332015991,0.7004573345184326,0.7396347522735596
18,0.6879526972770691,0.7360700368881226,0.7080792784690857,0.7257713675498962
19,0.6890964508056641,0.7259094715118408,0.7065548896789551,0.7252242565155029
20,0.6925276517868042,0.7234575748443604,0.707317054271698,0.7334398627281189
21,0.6910026669502258,0.7234830856323242,0.7103658318519592,0.7253932356834412
22,0.6911932826042175,0.7143076062202454,0.7126524448394775,0.7230443358421326
23,0.7024399638175964,0.7106468677520752,0.6935975551605225,0.7008153200149536
24,0.7024399638175964,0.7113704681396484,0.707317054271698,0.6941028833389282
25,0.7011055946350098,0.7066874504089355,0.707317054271698,0.693796694278717
26,0.7091116905212402,0.7078128457069397,0.6928353905677795,0.6995614767074585
27,0.7052992582321167,0.7036441564559937,0.7065548896789551,0.751561164855957
28,0.7024399638175964,0.7086499333381653,0.7164633870124817,0.7002955675125122
29,0.7091116905212402,0.6926302909851074,0.7050305008888245,0.7368173599243164
30,0.712161660194397,0.6961203813552856,0.7179877758026123,0.701694905757904
31,0.7073960900306702,0.6956272125244141,0.7157012224197388,0.701077938079834
32,0.7157834768295288,0.6911433339118958,0.71875,0.7119105458259583
33,0.7066336274147034,0.6900937557220459,0.7065548896789551,0.7428136467933655
34,0.7154021859169006,0.6925820708274841,0.7164633870124817,0.7192615866661072
35,0.7134959697723389,0.6909609436988831,0.7317073345184326,0.6852685809135437
36,0.7112085223197937,0.6887708902359009,0.7263719439506531,0.6772246956825256
37,0.725695788860321,0.684111475944519,0.7202743887901306,0.7134519219398499
38,0.7234082818031311,0.6835346221923828,0.7309451103210449,0.6734262108802795
39,0.7207396030426025,0.6786714792251587,0.730182945728302,0.678065299987793
40,0.7262676358222961,0.6769415140151978,0.7378048896789551,0.6748168468475342
41,0.7235989570617676,0.6749327182769775,0.7324694991111755,0.6653132438659668
42,0.7289363145828247,0.6735479235649109,0.7347561120986938,0.6683127880096436
43,0.723980188369751,0.672844648361206,0.7278963327407837,0.6724836230278015
44,0.731605052947998,0.663636326789856,0.7317073345184326,0.6858555674552917
45,0.7279832363128662,0.6663785576820374,0.7080792784690857,0.7333822250366211
46,0.7314144372940063,0.6680245399475098,0.7271341681480408,0.6594365835189819
47,0.7203583717346191,0.6707826256752014,0.738567054271698,0.6637760996818542
48,0.7352268099784851,0.6555085778236389,0.7347561120986938,0.683191180229187
49,0.7255051732063293,0.6618430614471436,0.7400914430618286,0.6609927415847778
50,0.7317956686019897,0.6558539271354675,0.6867377758026123,0.7883198261260986
51,0.7348455786705017,0.6535823941230774,0.7378048896789551,0.6500462293624878
52,0.7329393625259399,0.6473242044448853,0.7286585569381714,0.6856816411018372
53,0.7371330261230469,0.6485024094581604,0.7355182766914368,0.6403740644454956
54,0.7356081008911133,0.647915244102478,0.7446646094322205,0.6382554769515991
55,0.7363705635070801,0.6451351046562195,0.7355182766914368,0.6429709792137146
56,0.7409454584121704,0.6385068893432617,0.7423780560493469,0.6368763446807861
57,0.7443766593933105,0.6437672972679138,0.7263719439506531,0.6414322257041931
58,0.741707980632782,0.6346123814582825,0.7179877758026123,0.6625029444694519
59,0.7491422295570374,0.6315611004829407,0.7332317233085632,0.632412850856781
60,0.7487609386444092,0.6325799226760864,0.7492377758026123,0.6463745832443237
61,0.7487609386444092,0.638593852519989,0.7416158318519592,0.6505325436592102
62,0.7432329654693604,0.6263289451599121,0.7378048896789551,0.6261922717094421
63,0.7497140765190125,0.6210057735443115,0.7469512224197388,0.629483163356781
64,0.7558139562606812,0.6170068979263306,0.7446646094322205,0.6226614713668823
65,0.7525733709335327,0.622535765171051,0.7370426654815674,0.6227648258209229
66,0.7598170042037964,0.6128171682357788,0.7370426654815674,0.6157394647598267
67,0.7575295567512512,0.6125003099441528,0.7408536672592163,0.6219222545623779
68,0.7598170042037964,0.6078149080276489,0.7393292784690857,0.6143267750740051
69,0.7598170042037964,0.6092610359191895,0.7469512224197388,0.6079078912734985
70,0.7603888511657715,0.6101399660110474,0.7576219439506531,0.6341350078582764
71,0.756576418876648,0.6116695404052734,0.738567054271698,0.6448418498039246
72,0.7596263885498047,0.6061841249465942,0.7621951103210449,0.6032186150550842
73,0.7567670345306396,0.609477698802948,0.7583841681480408,0.6076341867446899
74,0.7640106678009033,0.5946183800697327,0.7454268336296082,0.6126052141189575
75,0.7647731900215149,0.5936083793640137,0.7446646094322205,0.617561936378479
76,0.7659168839454651,0.5931280851364136,0.769817054271698,0.6196713447570801
77,0.7655356526374817,0.6065314412117004,0.7484756112098694,0.6061857342720032
78,0.7661074995994568,0.5916818976402283,0.7629573345184326,0.6253290772438049
79,0.7695387005805969,0.5910318493843079,0.7705792784690857,0.5923779606819153
80,0.7682043313980103,0.5890288352966309,0.7522866129875183,0.5911865234375
81,0.7722073793411255,0.5911502242088318,0.7446646094322205,0.6209615468978882
82,0.771254301071167,0.5788636803627014,0.7583841681480408,0.5931575894355774
83,0.7674418687820435,0.5820964574813843,0.7507622241973877,0.6207353472709656
84,0.7758291959762573,0.5818845629692078,0.7515243887901306,0.5921254754066467
85,0.7792603969573975,0.5773117542266846,0.7660061120986938,0.5836884379386902
86,0.771254301071167,0.5751599669456482,0.7606707215309143,0.5839503407478333
87,0.7737323641777039,0.5723710656166077,0.7530487775802612,0.604593813419342
88,0.7784978747367859,0.5730570554733276,0.7530487775802612,0.6069964170455933
89,0.7764010429382324,0.5688016414642334,0.7568597793579102,0.5874862670898438
90,0.7748761177062988,0.5681811571121216,0.7766768336296082,0.5771984457969666
91,0.7826915979385376,0.5674775838851929,0.7751524448394775,0.5708009004592896
92,0.7805947661399841,0.5629748106002808,0.7759146094322205,0.5659806132316589
93,0.7809759974479675,0.5648651719093323,0.7660061120986938,0.5837235450744629
94,0.7844071388244629,0.5622532367706299,0.7789633870124817,0.5693037509918213
95,0.7811666131019592,0.5630675554275513,0.7560975551605225,0.592414140701294
96,0.7897445559501648,0.5596224665641785,0.7774389982223511,0.5573729872703552
97,0.7809759974479675,0.5679640769958496,0.7660061120986938,0.5808831453323364
98,0.7872664928436279,0.5533350706100464,0.7675305008888245,0.5751636028289795
99,0.7847884297370911,0.5543386340141296,0.7728658318519592,0.5811441540718079
100,0.7783072590827942,0.5593479871749878,0.7652438879013062,0.5873015522956848
101,0.7851696610450745,0.5542065501213074,0.7774389982223511,0.5609012246131897
102,0.7905070781707764,0.5500106811523438,0.7804877758026123,0.5799670219421387
103,0.7866946458816528,0.5514461994171143,0.7774389982223511,0.5630300045013428
104,0.7855508923530579,0.550190269947052,0.7766768336296082,0.5560439229011536
105,0.7893633246421814,0.5508026480674744,0.7545731663703918,0.6131342649459839
106,0.7872664928436279,0.5474972128868103,0.7804877758026123,0.5673431754112244
107,0.7880289554595947,0.5441261529922485,0.7820122241973877,0.5516053438186646
108,0.7886008620262146,0.5450693368911743,0.7667682766914368,0.5639488697052002
